"","logFC","logCPM","PValue"
"ENSMMUG00000005947",0.12042124657482,-1.05689648558388,0.829458318736393
"ENSMMUG00000015800",-0.0968702523020274,5.47142191385022,0.563931042976879
"ENSMMUG00000015802",-0.049408992311885,3.41272367757543,0.8113648223748
"ENSMMUG00000015804",0.12161691650866,1.45856440335813,0.617680707356619
"ENSMMUG00000022525",0.477183631486642,0.523082224172814,0.139883337614854
"ENSMMUG00000008350",1.82031340684538,-1.97056416575061,0.00460054036335996
"ENSMMUG00000001817",1.07589197868835,2.9671506549489,0.00120046114789849
"ENSMMUG00000045549",-0.145448394907735,-1.82714803959592,0.872728678108961
"ENSMMUG00000001819",3.12274096187473,5.0502182389956,5.83821180518407e-10
"ENSMMUG00000000838",0.869445002045771,3.35563906450405,0.00626742063029455
"ENSMMUG00000032293",0.0615922924087724,0.840520321240328,0.874490276822354
"ENSMMUG00000018699",-0.0615312566603769,4.21775635869906,0.744431162360544
"ENSMMUG00000040640",0.607336466866592,-1.71275710945406,0.438311966980128
"ENSMMUG00000032712",0.954644507948084,-2.29036667132514,0.269913917801048
"ENSMMUG00000033002",0.617500283302983,-2.2378481516535,0.56627558692793
"ENSMMUG00000042733",0.429016371397286,-0.861546978000784,0.480737938345464
"ENSMMUG00000045769",0.371964627552961,2.94630272482273,0.292588225609741
"ENSMMUG00000014205",0.560043413341482,4.7107896101206,0.0731906781815992
"ENSMMUG00000019518",0.0960676303131546,7.21008428658304,0.557082411106886
"ENSMMUG00000019519",0.447545903001034,2.48432096757966,0.0539408121959983
"ENSMMUG00000030888",0.0810048514209266,1.69084611261695,0.778208685659777
"ENSMMUG00000010030",-0.0593525814126861,5.58239389209651,0.67633688860228
"ENSMMUG00000032292",0.733863817678983,0.489073383279342,0.0916309997950147
"ENSMMUG00000013862",-0.0108494212256469,6.8363150647422,0.959529438585513
"ENSMMUG00000044868",-5.12548240610387e-15,-2.44146047117543,1
"ENSMMUG00000016279",-0.169903508088633,1.45027660775444,0.442598599828291
"ENSMMUG00000013866",-0.114734051862976,6.26991878095969,0.420237707418801
"ENSMMUG00000049027",-5.12548240610387e-15,-2.44146047117543,1
"ENSMMUG00000013875",-0.331273653971692,3.52444006318989,0.125341344224476
"ENSMMUG00000007109",-0.32066351601525,-0.400243097802719,0.185448400918196
"ENSMMUG00000043853",-5.12548240610387e-15,-2.44146047117543,1
"ENSMMUG00000003582",0.00154149492742428,0.819384329085418,1
"ENSMMUG00000006904",-0.0201155973228742,7.74047828107785,0.901922662963662
"ENSMMUG00000044131",0.288728835292195,-2.34343526212419,1
"ENSMMUG00000013280",-0.02037488759115,0.25661739432904,0.959275404750982
"ENSMMUG00000047918",-0.0858974569664952,1.1669272008901,0.862851686899565
"ENSMMUG00000045301",-0.0878198617327555,2.78221301565325,0.732144674477839
"ENSMMUG00000001549",0.0274553664212889,4.68644978106606,0.870083338319738
"ENSMMUG00000040140",-0.0639374707870201,-0.845133063235397,0.925591762656094
"ENSMMUG00000001551",-0.282760335476636,5.87540104102248,0.058330700749336
"ENSMMUG00000040063",-0.0888321690094455,-0.311421913058237,0.795244085960769
"ENSMMUG00000048805",-0.0319540471468672,-0.812772959443488,0.973206555092161
"ENSMMUG00000012961",-0.180183020112759,5.63736603376934,0.254788349948368
"ENSMMUG00000001891",0.285697982998081,0.883072693850506,0.399597039525909
"ENSMMUG00000001894",0.0807897166220187,7.45654414618671,0.498257716399996
"ENSMMUG00000005578",-0.28181920654288,5.14137094963074,0.102621791854926
"ENSMMUG00000010879",0.151410318637294,8.68880732971857,0.498419596747596
"ENSMMUG00000001896",0.0824767833679216,8.4428000174202,0.571629508707015
"ENSMMUG00000012392",0.106744075196331,-0.0144308946137796,0.698332241759277
"ENSMMUG00000012393",0.0296709992069248,-2.08098469710548,1
"ENSMMUG00000014075",-0.109400531361379,-1.87292768144033,0.938489775126195
"ENSMMUG00000019086",-0.379235959018571,-2.4288473316399,1
"ENSMMUG00000018911",-0.0101996152271209,1.64602173638787,0.980554091194563
"ENSMMUG00000018916",-0.093490413825406,2.56198674966395,0.642813186077728
"ENSMMUG00000043879",0.739319966237097,-1.4942860319355,0.331388973747003
"ENSMMUG00000010280",-0.273424402385241,5.32808344758767,0.151057315967432
"ENSMMUG00000040022",0.83128738941169,-1.60689312785815,0.120074913814627
"ENSMMUG00000012345",-0.0209229297412448,-0.565491528111352,1
"ENSMMUG00000012346",-0.0554602590418573,6.22356892327282,0.653746058356176
